index,Pathway,Super_class,Class
CC(C)(C)CCCCCCCCCCCCCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Branched fatty acids
COc1cc(C2=C(OC3OC(CO)C(O)C(O)C3O)Cc3c(cc(O)cc3OC3OC(CO)C(O)C(O)C3O)O2)cc(OC)c1O,Shikimates and Phenylpropanoids,Flavonoids,Anthocyanidins
CCCc1cc(OC)cc(O)c1C(=O)Oc1c(OC)cc(CCC)c(C(=O)O)c1O,Polyketides,Aromatic polyketides,Depsides and depsidones
CC1(C)C2=CC(C=O)CCC21,Terpenoids,Monoterpenoids,Carane monoterpenoids
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(NCc3ccc4c(c3)B(O)OC4)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)NCCN(C)C,Polyketides,Macrolides,Polyene macrolides
CC1=C2C3C(CCC2(C)CCC1)C3(C)C,Terpenoids,Sesquiterpenoids,Cycloeudesmane sesquiterpenoids
COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc(OC)c1O,Shikimates and Phenylpropanoids,Flavonoids,Flavones
C=C(C)[C@@H]1C[C@H](O)[C@@]2(C)OC3=C(C[C@@H]12)C(=O)[C@](O)(CO)C[C@@H]3O,Terpenoids,Meroterpenoids,Miscellaneous meroterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCOC(=O)CC(NC(=O)C(Cc1c(Br)[nH]c2ccccc12)N(C)C(=O)C(C)NC(=O)C(C)CC(C)=CC(C)CC(C)O)c1ccc(O)cc1,Polyketides,Oligopeptides,Depsipeptides
CC[C@@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@@H]1C/C=C\C/C=C\C/C=C\CCC(=O)O,Fatty acids,Docosanoids,Neuroprostanes
O=C(O)/C=C/Br,Fatty acids,Fatty Acids and Conjugates,Halogenated fatty acids
COc1cc(C=CCC(O)C=Cc2cc(OC)c(O)c(OC)c2)ccc1O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
C=C1C(O)CC2C1CC1(COC(C)=O)CCC(O)(C(C)C)C1C(O)C(OC(C)=O)C2C,Terpenoids,Diterpenoids,Fusicoccane diterpenoids
Cc1c2c(c(O)c3c(O)ccc(Cl)c13)C(=O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]1C2,Polyketides,Polycyclic aromatic polyketides,Tetracyclines
Cc1cc(OC2OC(CO)C(O)C(O)C2O)cc(=O)o1,Polyketides,Cyclic polyketides,2-pyrone derivatives
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCC/C=C\CCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoserines
CCCCCC1CC(=O)N(CCCCN2CCCN(C)C(CCCCC)CC2=O)CCCN1C,Alkaloids,Ornithine alkaloids,Polyamines
O=C1C=C(C2=CC(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc21,Polyketides,Naphthalenes,Naphthoquinones
